claim_id,claim_text,stated_value,recomputed_value,source_file,match,note
candidates,Number of surface-street candidate intersections,81007 (verified) / 80870 (predictive),80870,data/model/candidate_panel.parquet,REVIEW,"panel on disk is the PREDICTIVE run (80,870), not the verified 81,007. Any claim citing 81,007 must use a preserved verified artifact, not this live panel."
emergent_ge2,"Emergent sites with >=2 KSI (predictive run, recomputed from panel)",10,10,data/model/candidate_panel.parquet,YES,This panel is the PREDICTIVE run. >=1 KSI sites: 252. NOTE: deck/one-pager cite 22 (verified); live panel may be 10 (predictive). Confirm every '22' refers to the verified run.
spearman_random_verified,"Crash-only Tweedie Spearman rho, random split (verified run)",0.175,0.1748,data/model/milestone3a_results.json,YES,milestone3a = original verified run.
spearman_spatial_verified,"Crash-only Tweedie Spearman rho, spatial split (verified run)",0.193,0.1688,data/model/milestone3a_results.json,NO,NOTE: deck cites 0.193 spatial; this JSON is source of truth for the verified run.
persistence_random_verified,"Persistence baseline Spearman rho, random split (verified run)",0.085,0.0847,data/model/milestone3a_results.json,YES,
spearman_random_predictive,"Crash-only Spearman rho, random split (PREDICTIVE/retrained run)",0.175,0.1547,reports/milestone4.md,REVIEW,"CRITICAL: retrained run shows ~0.155, deck cites 0.175 from the verified run. Two different runs. Pick one framing per document and label which run it is."
recall_at_200,"recall@200 (current M4 report, random split)",0.80,1.000,reports/milestone4.md,REVIEW,"CRITICAL: current M4 random-split recall is computed on only 2 test-set positives (10 emergent sites, 20% in test). recall=1.000 with CI [0.500,1.000] is 2 sites, not a robust 22. Deck's 0.80/1.00 came from the earlier 22-site run. State n explicitly everywhere."
recall_at_500,"recall@500 (current M4 report, random split)",1.00,1.000,reports/milestone4.md,REVIEW,Same caveat as recall@200. Honest full-ranking figure (13/22 on the verified run) differs from the test-split 1.000. Use full-ranking for operational/Council claims.
full_ranking_recall_50,"Full-ranking recall@50 (all candidates, >=2 KSI)",-,0.200 (2/10),data/model/model_scores.parquet + candidate_panel.parquet,REVIEW,FULL-RANKING recall@50: 2/10 true emergent sites in top 50 of 80870 candidates. Random expectation 0.0006 => 323.5x lift. THIS is the operational shortlist number for Council/one-pager.
full_ranking_recall_100,"Full-ranking recall@100 (all candidates, >=2 KSI)",-,0.300 (3/10),data/model/model_scores.parquet + candidate_panel.parquet,REVIEW,FULL-RANKING recall@100: 3/10 true emergent sites in top 100 of 80870 candidates. Random expectation 0.0012 => 242.6x lift. THIS is the operational shortlist number for Council/one-pager.
full_ranking_recall_200,"Full-ranking recall@200 (all candidates, >=2 KSI)",0.80,0.500 (5/10),data/model/model_scores.parquet + candidate_panel.parquet,REVIEW,FULL-RANKING recall@200: 5/10 true emergent sites in top 200 of 80870 candidates. Random expectation 0.0025 => 202.2x lift. THIS is the operational shortlist number for Council/one-pager.
full_ranking_recall_500,"Full-ranking recall@500 (all candidates, >=2 KSI)",1.00,0.700 (7/10),data/model/model_scores.parquet + candidate_panel.parquet,REVIEW,FULL-RANKING recall@500: 7/10 true emergent sites in top 500 of 80870 candidates. Random expectation 0.0062 => 113.2x lift. THIS is the operational shortlist number for Council/one-pager.
full_ranking_recall_1000,"Full-ranking recall@1000 (all candidates, >=2 KSI)",-,0.800 (8/10),data/model/model_scores.parquet + candidate_panel.parquet,REVIEW,FULL-RANKING recall@1000: 8/10 true emergent sites in top 1000 of 80870 candidates. Random expectation 0.0124 => 64.7x lift. THIS is the operational shortlist number for Council/one-pager.
ksi_events_per_site,Mean KSI events per emergent site (measured from labels),2.5,2.00,data/model/candidate_panel.parquet,NO,"Deck assumed 2.5. This is measured. If it differs, the $208M total must be recomputed."
fatal_share,Fatal share of label-window KSI crashes (measured),0.15,0.243,data/proc/ksi_label_crashes.parquet,NO,Deck assumed 15% fatal. This is measured. Drives the $ total.
total_societal_harm,"Total societal harm, emergent sites (rebuilt from measured mix)",$208M,$104M,panel labels + ksi_label_crashes severity + FHWA costs,NO,"Rebuilt from 20 total KSI events across emergent sites, measured fatal share 0.24. If NO, the deck's $208M used assumed inputs."
shap_narrative,SHAP narrative: does recency/timing beat volume?,recency/timing beats volume,VOLUME > RECENCY (volume wins),reports/milestone5_prewriting.md,NO,"CRITICAL: M5 found VOLUME > RECENCY. Deck slide 5 frames the signal as 'recency/timing, not counts' -- the OPPOSITE. changepoint_prob (#2) supports a 'structural break' story, but 'recency beats volume' is false. Fix slide 5."
shap_top_feature,Top SHAP feature,years_since_last_crash,years_since_last_crash,reports/milestone5_prewriting.md,YES,
